Help!	Kapadle
It has been raining for three days on end.	kodedh mooji dina inchi barsa burondu undu
It is definite that he will go to America.	aye america gu popuna nischitha
Let's go and see as many things as we can.	nama yeth aapundu ath sathi podu thuka
Let's let the workers go home early today.	un ini beledhakulu illag bega povadh
Saying and doing are two different things.	panpun boka manpun rad la bethe
Saying and doing are two different things.	panpun boka manpun rad la bethe
She could not come because of her illness.	aleg ushar ijjande bareg ayiji
She is well known in both India and China.	Aal bharatha boka chaina du chiraparitha
She is well known in both India and China.	aal bharatha boka chaina du chiraparitha
She showed me a letter written in English.	aal yenk english du barethina patra nu tojayal
Some of the apples in the box were rotten.	kelav pettige du ithhina eppul haal athnd
Some people like cats, others prefer dogs.	kelavereg puche ista,kelavereg nayi istha
That accident was due to his carelessness.	undh vibhath yena asade du ayini
The Japanese eat rice at least once a day.	japanese dinaku oranadala nuppunu tinper
The Qutub Minar and Red Fort are in Delhi.	qutub minar boka red ford delhi du undu
The old farmer did not pay him much money.	para raitha ayeg jasthi kass korthijer
The teacher was disappointed at my answer.	yenna sikshaka uthhara kend nirasa ayer
Toudaiji is the bigger of the two temples.	toudaiji rad devasthana du malla
Why is he angry about something like that?	aye dhayeg garva anchanda vishayag?
You will be punished if you break the law.	nik shikshe thikund ee kanunu muripayanda
You're spending too much time watching TV.	ee tv tupuned masthu samaya karch manpa
Are these the glasses you were looking for?	unduva kannadi e nadondu ithina?
By the way, have you ever been to Hokkaido?	panthileka,e hokkaido gu pothana?
Cover up the injured man with this blanket.	thagudina jananu manthri du muchule
Do you know the man standing on the bridge?	nik sethuve dha mith unthuna jana yer andu gothunda?
During the war, we had to do without sugar.	yudha da smayadu ,nama sakkare ijjande manpod ithndh
From year to year they were growing poorer.	varshdu varsha akulu badaver avondu uller
He did not show up at the party last night.	aru kode rathre party du tojijer
He was arrested because he stole the money.	aru kode rathre party du tojijer
He was arrested because he stole the money.	ayen bandhane manther dhaye panda aye kandye
His disappointment was obvious to everyone.	ayena nirashe purakleg spastavadu inthundh
His main object in life was to become rich.	ayena jeevana guri kass dhaye apunu
His pride didn't allow him to ask for help.	ayena hemme ayeg sahaya kendreg budthiji
I am afraid of the situation getting worse.	yenk paristhiti hadhake apuna tudu yenk podige aapundh
I chose to leave instead of staying behind.	yan pirav unthuna badhalg popina ayke manthe 
I like the blue one. How much does it cost?	yenk nili banna istha andu,yeth aik?
I like the blue one. How much does it cost?	yenk nili banna istha andu,yeth aik?
I met my teacher on the way to the station.	Yan yenna sikshakanu nildhana popuna sadhidu tuye
I never dreamed that I would meet you here.	yan kanasula manthiji yan ninnan mulu tupe andh
I ran out of money during my stay in India.	yenna da kass ithiji yan bharatha du uppunga
I'll let you know when it has been decided.	yan nik panpe yepa nirdhara manper pandu
In Japan a new school year starts in April.	japan du posa shale varsha april du suru aapund
India has a different climate from England.	bharatha da havamana england du bethe
Is it necessary for me to attend the party?	ini yan partyg popuna avayshaya na?
It doesn't matter whether he agrees or not.	Aye opundala opijidala dhala vyathyasa buruji
It is said that women live longer than men.	avu panthund ponnul anuledh masthu varsha badukver andu 
It was Tom that broke the window yesterday.	yanne tom kode kithuge pudathinaye
Let me congratulate you on your engagement.	erna niscitartha da bage yan ereg abhinandane manpe
My father told me not to read books in bed.	yenna ammer hasige du booku odere balli pandu panther
Our health is our most precious possession.	namma aroghya namma amulya vada asthi adu undu
People of your age often have this problem.	ninna prayda purakleg  undu samshe upundh
Respect yourself and you will be respected.	bethkleg mariyadi korla,nik akulu mariyadi korper
She has a rich vocabulary of English words.	aal english du shrimantha shabdha gosha du yedde ullal
Some people want to amend the constitution.	kelaver samvidhan nu thidu laka manpere bayasuver
The doctor advised that she take a holiday.	vaidyakara aleg raje dethon pandu alochane koryer
The doctor told him to cut down on smoking.	vaidyakare ayeg oipuna unthayere panyer
The door was locked and we couldn't get in.	bakil padundu aik yenleg ullai poyere ayiji
The girl tried hard to hold back her tears.	ponna alna kanner nu masthu kastha du unthayal
The man who is standing there is my father.	avlu unthuna anjov yenna ammer
The wind carries seeds for great distances.	gali jasthi doorg bejanu bejavundu
There are more clouds today than yesterday.	kodedh ini masthu moda undu 
They furnished the library with many books.	akulu masthu booku otugu grahanthalanu odhage manther
This museum has been closed for five years.	undu museum ainu varsha dinchi muchudundu
This poem was originally written in French.	undu padya nijavadu french du barethini
Tom and Mary want to know what our plan is.	tom boka marry gu namma yojane dada andu
Two brothers set out on a journey together.	radd anna megge lu prayanog pidadyer
We investigated the matter from all angles.	nama e vishayanu pura kona du araya mantha
We stayed with them all through the summer.	yan aklena otugu besige kalod ithe
We've run out of paper for the photocopier.	nammada kagadha kammi undu photocopier gu
Whoever wants to come to my party may come.	yer pura yenna party gu barodo akulu baroli
You are not supposed to play baseball here.	nikul mulu basketball gobbere iji
You aren't leaving Japan for good, are you?	eer  yedde gandu japan budondu ijjar?
Your plan requires a large amount of money.	ninna yojane gu masthu kass bodu
A madman is not accountable for his actions.	marle dada manthundala javabdari iji
A rubber ball bounces because it is elastic.	rubber ball putiyuvund dhaye panda avu elastic
All the answers to this question were wrong.	poora prashna gu uthara thappu
All the answers to this question were wrong.	poora prashna gu uthara thappu
Do we have to get up early tomorrow morning?	yenkulu yelle kande bega lakkoda?
Do you know this part of the city very well?	nik undu nagara da baga sariyadu gothunda?
Don't forget to come here at seven tomorrow.	yelle yelu ganteg mulpa bareg mareth povodchi
Don't forget to come here at seven tomorrow.	yelle yelu ganteg mulpa bareg mareth povodchi
He is a British citizen, but lives in India.	aye british nagarike anda bharathdu uppunu
He realized his dream of becoming an artist.	yena kanasu ayeg gothand kalavida apuna
He said he would write to me, but he hasn't.	aye panye yenk baredu korepe pandu,nanala manthiije
I don't know when she will leave for London.	yenk gothuji aal yepa london budpalandu
I feel cold. Do you mind closing the window?	yenk chali aapundu,yan kidtake muchunda nik dala apuji atha?
I haven't had a chance to see the movie yet.	yenk chalanachitra tuyere nanala avakasha thikiji
If it rains tomorrow, will you stay at home?	yelle barsa bathunda ,ee illadu uppuvana?
It is difficult for me to get up before six.	yenk aaji ganteg dha dumbu lakkere yenk banga
It's impossible for me to explain it to you.	nik vivara manpere yenk asadhya
My father spends a lot of time on his hobby.	yenna ammer masthu porthu arna havyasa gu karcha manthondh ither
My opinion is entirely different from yours.	yenna abhipraya ninnadu bethe
My parents have just arrived at the station.	yenna poshaker nildhana gu baidher
She cried out the moment she saw her mother.	Aal alna appen thoovina kshana bulthal
She left the old newspapers lying in a heap.	Aal parath varthamana-pathran onji raashi manthudh budyal
That movie theater always shows good movies.	Av chalanachitradha theater yepala yedde chalanachitradha thoopavundu
The baby woke up in the middle of the night.	Bale madhya rathre lakkind
The children tried to imitate their teacher.	Jokul teacher na nakal dhepare shuru manther
The government has been reforming education.	Sarkara vidhyabyasan yedde manthondh uller
The male peacock has colorful tail feathers.	Navildha dha rekke d masth banna undu
The mother is leading her child by the hand.	Amma arna joklen kai pathondh nadapavondh uller
The thief cursed the police for finding him.	Kalve police ayen nad-dhinek shaapa dheeye
The world is changing more and more quickly.	Indh prapancha masth bega badal avondh undu
This coffee is so hot that I can't drink it.	Indh kaapi masth becha undu yenk aven parre apuji
This is the very book that I wanted to read.	Indhe av booku yenk odhare ithina
Waking up is the opposite of going to sleep.	Lakkuna boka jeppuna virodha shabdha 
Whoever comes first will get the best seats.	Yer bega barper akleg athyuthama seat thikund
A big earthquake occurred in India yesterday.	Onji malla bhookanpa bharathad kode bathind
Are you going to cut down all the trees here?	Ee matha maranla kadpare povondh ullana?
Be sure to put out the fire before you leave.	Popina dhumbu thoo n dhethudh pola
Because of his advice, I was able to succeed.	Ayena salahed yenk jaya thikare sadhya aand
Did it not occur to you to close the windows?	Nik kandi n bandh manpuna yendhijiya?
Don't add sentences from copyrighted sources.	Copyright aathina vakhyan pura jodi manpodchi
Everyone could easily see his disappointment.	Matheregla ayena bejara aramad thojind
He broke himself of the bad habit of smoking.	Aye ayena voipuna ketta budhi budiye
He is anxious to know the result of the test.	Ayeg ayena parikshe dha nirnaya dha bagge chinte
He lost his balance and fell off his bicycle.	Aye ayena thula kalevondh ayena dhvichakrad burye
He ought to have made allowances for his age.	Areg arna prayag thakka appani manpod ithind
He tends to get angry when people oppose him.	Ayeg janakul virodha manthinda ayeg kopa barpund
He works on the farm from morning till night.	Aye kanda d kanderdh baiyya muta bele manpuve
His new book is going to come out next month.	Ayena posa booku barpuna thingal d barpund
I am going to stay here for a couple of days.	Yan moolu kelav dhina upuve
I have two sisters, both of whom are married.	Yenk raad akka-medhi uller akleg madhime aathind
I received a letter which was written by her.	Yenk onji aal barethina pathra thikind
I will give you a call as soon as I get home.	Yan illag poyi kudle nik call manpve
It's been pouring here for the last few days.	Mulpa kelav dhinadh jor barsa barondh ithind
Let me give you a lift as far as the station.	Nik yaan nildhana muta budpe
Mt. Everest is the highest peak in the world.	Mt.Everest prapanchadha athi yetharadha parvatha
My father left me a lot of money in his will.	Yenna ammer yenk masth kaas bud-dhu poyer
She burst into tears when she heard the news.	Aal sudhi kenunagane jor aadh bulthal  
She poured coffee into the cups on the table.	Aal kapi n lote g meji dha mith padyal
Something is wrong with this washing machine.	Indh washing machine dhadhana sari ijji
Take off your hat when you enter a classroom.	Classroom g bannaga ninna toppi dhepu
The accident was due to his careless driving.	Indh dhurgatane ayena ajagrathed ayini
The car broke down on the way to the airport.	Gaadi vimana-nildhanag popina dhari d haal aand
The factory will cease operations next month.	Bhandasale barpina thingol bele unthavondh uller
The news caused alarm throughout the village.	Av sudhi kendh oorudha janakleg podige aand
The policeman observed the man open the door.	Policeman oriyen bakil thereyuna thooyer
The thief is certain to be caught eventually.	Kalve koneg thikidh burvene
They fined him 5,000 yen for illegal parking.	Ayeg ain-sara yen n gaadi thappu park manthinek dhanda padyer
This is the village where my father was born.	Indhe yenna ammer putudhina grama
To distinguish right from wrong is difficult.	Sari thappu panyare bari banga
Tom couldn't understand what Mary was saying.	Tom g Mary dhadha panondh ullal pandhe artha avondh ijji
Tom couldn't understand what Mary was saying.	Tom g Mary dhadha panondh ullal pandhe artha avondh ijji
Tom couldn't understand what Mary was saying.	Tom g Mary dhadha panondh ullal pandhe artha avondh ijji
We took it for granted that he would join us.	Nama ayen andh andhadh nenapuni aanda aye nammot seruve andh 
What is the difference between this and that?	Indh boka aitha nadut vyathyasa dhadha?
What is the difference between this and that?	Av boka indhetha nadut vyathyasa dhadha?
What will you be doing at this time tomorrow?	Ee indh porth g yelle dhadha manthondh upuva 
Whoever wins the race will receive the prize.	Yer race gendhver aklege inaam thikund
You can buy whichever you like, but not both.	Nik vowla depoli aanda radla depare apuji
As soon as he finished his work, he went home.	Ayena bele mugina kudle aye illag poye
Going out in this rain is out of the question.	Indh barsa g pidhai popina prashnene ijji 
He is not the sort of guy who gives in easily.	Aye bega nambuna jana ath
He took advantage of every opportunity he had.	Aye ayeg thikina pura sandharban upayoga manthe
I don't want there to be any misunderstanding.	Yenk ov la thappugrahike upuna bodchi
I had a fight with my older brother yesterday.	Yenna anne nottugu yan kode ladai manthe
I had a fight with my older brother yesterday.	Yenna anne nottugu yan kode ladai manthe
I have tried innumerable times to contact him.	Yan ayeda masth sarthi sandhmuttare prayathna manthe
I remember my mother teaching me the alphabet.	Yenk yenna amma akshara kalpayina nenapu undu
I wonder where to hang the picture he gave me.	Yan yennun aye korthina chitran vol nelpavunu
I wrote down his name so I wouldn't forget it.	Yan ayena pudar barethini dhayepanda yenk av marepare balli pandh
I've been given until tomorrow to finish this.	Yenk indhen mugipayare yelle muta samaya korther
My father is my biggest source of inspiration.	Yenna ammer yenna prerane dha malla karana
Please don't hesitate to ask me any questions.	Dhaya-manthudh yenada prashne manpare kuruna bodchi
Please tell me your name and telephone number.	Dhaya-manthudh erna pudar boka phone sankhye panle 
She is busy at present and can't speak to you.	Aal ithe amasarad ullal aik ninada pathere apuji
She will give her picture to whoever wants it.	Aal yereg bodu akleg alna chitra korpal
Take back what you said about me being stingy.	Yan kurekatuna pandhina maathun pira dhepu
That can't be Mary. She's in the hospital now.	Av mary avare sadhya ijji. Aal ithe aaspathred ulla
The drug smuggler was arrested at the airport.	madhakavasthu dha vyaparin kaidh manther 
The instant he saw the policeman, he ran away.	Aye police dharen thooyina kudle balthudh poye
There is a limit to how much one can tolerate.	Oriyegh sahisuna onji mithi upundu 
They were about to leave when I arrived there.	Akul bud-dhu pore ither yan bathina kudle
This car has been used for the past ten years.	Indh gaadin path varshadhinchi budondh uller 
What time do you usually get up every morning?	Ee yepala kande yeth ganteg lakkuni
You are fortunate to have such loving parents.	Ninna bhagya nik aath yedde appe-ammadlu uller
You had better not go out in this bad weather.	Ee indh havamanag pidhai popuna yedde ath
You make mistakes if you do things in a hurry.	Ee gadibidi d bele manthinda masth thappu aapunde
You should write it down before you forget it.	Ee aven marepuna dhumbu baredh dheela
You'll get a lot of presents on your birthday.	Nik ninna putudhina dhina masth udugore thikund
Almost all Japanese boys like to play baseball.	Hechkadime matha japan dha anuleg baseball gobbare ista undu
Can you tell me when to switch the machine off?	Nik yenk yepa yantran bhandh manpare andh panoliya?
Don't forget to return the book to the library.	Booku n granthalayag vapas korre mareyodchi
He became a member of this club five years ago.	Aye indh sabhe dha sadhasye ain varsha dhumbu athe
He will commit suicide if he can't see his son.	Aye ayena mage n thooyijida aathmahathye manpuve
How can you tell good English from bad English?	Nik yencha yedde english boka ketta english dha vyathyasa yencha manpuva?
I came upon an old friend of mine on the train.	Yan yenne para dosti n rail d thikye
I have lots of work to clear up by the weekend.	Yenk ee vara masth bele manthudh mugipavodu
I have no idea to what extent I can trust them.	Yenk gothuji ayen waa hantha muta aklen baravase manpoli pandh 
I have no idea to what extent I can trust them.	Yenk gothuji ayen waa hantha muta aklen baravase manpoli pandh 
I saw a girl whose hair came down to her waist.	Yan onji ponnun thooye alna kujal sonta muta ithind
I saw him go into the toilet a few minutes ago.	Yan ayen chur porthu dhumbu shouchalayag popina thooye 
India gained independence from Britain in 1947.	Bharathag 1947 d swathanthra thikind
Last week five students were absent from class.	Pira vara ain jana tharagathi g baidhijer
She reproached me for not answering the letter.	Aal yenk pathra dha uttara korandhinek yenk neriyal
Something must have happened to him on the way.	Ayeg dhaarid dadana athund
Sometimes she tried talking to him about India.	Kelavsarthi aal ayeda bharathadha bagge pathere prayathna manthal 
The reason which he gave is hard to understand.	Aye korthina karana artha manpare baari banga 
The station is located between these two towns.	Nildhana indh radd pattanadha nadoot undu
There are lots of things for us to think about.	Namak yochana manpare masth vishayulu undu 
These grapes are so sour that I can't eat them.	Indh drakshi masth puli ithina karana yenk aven thinyare aapuji
They booted him out of school for not studying.	Aye kalthondh ithiji aik ayen shale dh pidai padyer
Thousands of foreigners visit Japan every year.	Saavira d videshi nakul japan g poper prathi varsha
Tom wants to know why you didn't call him back.	Tom kenondh ithe ee dhaye ayeg pira kare manthija pandh
We had no customers, so we shut the shop early.	Namak grahaker ijji, aik nama angadin bega bhandh mantha
We have some new products we'd like you to see.	Nik thojpayare namada posa uthpannalu undu
We will have to call on our friends to help us.	Nama namma dosthilen sahayag leppod aapund
When did America become independent of England?	America g yepa england dhu yepa swathanthra thikini?  
While I was in Taiwan, I made friends with him.	Yan Taiwan d upunaga masth dostilen manthe
Would you mind speaking a little softer please?	Ereg erna swaran chur kammi manthudh patheroliye?
"Will they go on strike again?" "I'm afraid so."	"Akul kuda prathibataneg popera?" "yenk anchane yenund"
An old man was resting in the shade of the tree. 	Onji parabe maratha niral d arama manthondh ithe
Could you please speak a little bit more slowly?	Nik chur nidhana patheroliya?
Do you think he will be elected president again?	Nik yennunda aye kuda adhipathi ape pandh?
Frankly speaking, I don't want to work with him.	Spasta vadh panondh ulle, yenk aye nottugu bele manpare ijji 
He is a nice man, except that he talks too much.	Aye jana yedde, aanda masth patherve
He left his parents when he was eight years old.	Aye ayena appe-ammadlu n edma varsha upunaga bud-dhu poye 
He reminded his wife to wake him up at 7:00 a.m.	Aye ayena bodedhig kande yel ganteg lakkayare panye
He sent out the parcel the day before yesterday.	Aye kattan murani kadapaye
He was respected both as a teacher and as a man.	Areg upadhye aadh la manushya aadh la mariyadhi ithind
How long did it take you to translate this book?	Indh booku n tharjime manpare nik yeth porth thaagind? 
I became friends with him while I was in Taiwan.	Yan taiwan d upunaga ayenotugu yedde dosti aye
I found it impossible to do the work in one day.	Yenk indh bele onji dhinat manpare asadhya
I have never come across such a stubborn person.	Yan ancha onji hatamaari vyakthi g thikiji
I have to learn many words and phrases by heart.	Yenk masth padha boka vachana n baipata manpod
I thought that he had already finished the work.	Yan yendhini aye ayena bele yepane mugipaye
I was ill at ease because I didn't speak French.	Yenk chinte aand dhaye panda yenk french gothithiji pandh
I was searching for something that didn't exist.	Yan uppandhina vasthun nadondh ithe
I was surprised at the news of his sudden death.	Yenk ayena orane theer poyina sudhi kendh aascharya aand
It is necessary for you to go there immediately.	Nik adeg rappa popuna masth agathya undu
It is necessary for you to see a doctor at once.	Nik doctor n ithene thooyare popina agathya undu 
It makes no difference whether you agree or not.	Ee opla ijida budla ait vyathyasa buruji
May I talk with you in private about the matter?	Yan nik indh vishayan swantha vadh patheroliya?
She had plenty of acquaintances, but no friends.	Aleg gurtha dhakulu masth ither aanda dostilu ithijer
The doctor told her that she should take a rest.	Doctor aleg arama manpare panyer
They are in favor of the reform of the tax laws.	Akul therige kanunu n sudharuna upakarad uller
This elevator does not go above the sixth floor.	Indh lift aajine maligedh mith popuji
This machine is superior in quality to that one.	Indh yantra dha thara aidh yedde undu
Tom had fifty dollars in his pocket at the time.	Tom da aiva dollars kiset ithind apaga
Tomorrow is my birthday and I will be seventeen.	Yelle yenna putudhina dhina boka yenk pathnel varsha aapund
Tomorrow is my birthday and I will be seventeen.	Yelle yenna putudhina dhina boka yenk pathnel varsha aapund
When she was reading the letter, she looked sad.	Aal pathra vodhondh ithnaga aleg bejar avondh ithind
Why do you think soccer isn't popular in the US?	Nik dhaye yennun soccer US d prasidha ijji pandh?
Will you exchange this sweater for a larger one?	Nik indh sweater n malla dhotugu badalavane manpoliya?
Write back to me as soon as you get this letter.	Nik pathra thikkina kudle yenk pira barela
You will be all right again in a couple of days.	Ee chur dhinate sari aapa
You will be all right again in a couple of days.	Ee chur dhinate sari aapa
Do you think we should import rice from the U.S.?	Nik yennunda nama arin US d tharpavoda?
He contracted malaria while living in the jungle.	Ayeg kaad d upunaga malaria roga shuru aand
He left all his property to his wife in his will.	Aye ayena matha aasti n ayena bodedhig bud-dhu koriye
He made such a long speech that we all got bored.	Aye onji malla bashana mathinek namak thodind
I am of the opinion that he will never come back.	Yenna abhipraya du aye nana barpuje
I slept all day yesterday, because it was Sunday.	Yan kode idi dhina jethe dhaye panda kode aithara
I will tell him about it when he comes next time.	Yan ayeg indhetha bagge kuda bannaga pandh budpe
I will tell him about it when he comes next time.	Yan areg indhetha bagge kuda bannaga pandh budpe
If possible, I'd like to travel around the world.	Sadhya aanda yenk idi prapancha thirgare ista undu
If the coffee is too strong, add some more water.	kapi masth strong aanda aik neer pad 
London is one of the largest cities in the world.	London prapanchadha onji malla pattana 
London, the capital of England, is on the Thames.	London england dheshadha rajadhani thames nadhi dha barit undu
The money should be distributed to those in need.	Kaas n agathya dhakleg pattodu
There is no hurry about returning the book to me.	Booku n yenk bega korodu andh ijji 
There weren't any children in the park yesterday.	Kode upavana d onjila jokulu ithijer
They wanted to get married as soon as they could.	Akleg ayinath bega madhime avod ithind
They won't believe me even if I swear it is true.	Akul yennan pramana manthundala nambujer
We cannot decide whether to go to college or not.	Namak nirdhara depare avondhiji nama vidhyashale popina bodchiya pandh
You have the freedom to travel wherever you like.	Nik vode bodu ade prayana manpare salige undu
Father objected to my going to the mountain alone.	Ammer yennan parvatha g oriye poyare addi padyer
He is confident that he will pass the examination.	Ayeg parikshe d pass ape andh ayeg nambike ithind
He jumped into water without removing his clothes.	Aye neerig ayena kuntu dhepandhe lagiye
I do not know for certain what she is going to do.	Yenk sarit gothuji aal dhadha manpare povondh ullal
I have a gut feeling that Tom won't pass the test.	Yenna swabhavabuddhi d tom parikshe pass apuje 
I have a gut feeling that Tom won't pass the test.	Yenna swabhavabuddhi d tom parikshe pass apuje 
I have nothing to say with regard to that problem.	Yenk indh samasye dha bagge dhala panre ijji
I have nothing to say with regard to that problem.	Yenk indh samasye dha bagge dhala panre ijji
I know her by sight, but I've never spoken to her.	Yenk alena gurtha undu aanda yan alnotugu ithe muta patherdhiji
I learned to play guitar when I was ten years old.	Yan path varsha d upunaga guitar kalthe
I spent the whole afternoon chatting with friends.	Yenna idi madhyana pattanga hakondh ithe
I stayed at home all day instead of going to work.	Yan bele g popina badalugu idi dhina illade kulye
I think there has been some misunderstanding here.	Yenna lekkad mulpa dhadhana thappugrahike athund
I'm not saying that your answers are always wrong.	Yan panpuji ninna uttara yepala thappu pandh
India is the seventh largest country in the world.	Bharath vishwa dha yelne malla dhesha
It was so noisy that I couldn't make myself heard.	Eeth gadhalad yenk yenna mathe kenondh ithiji
It's an absolute waste of time to wait any longer.	Indhed jaasti kaapuna samayadha vyartha
Many people encouraged me to fulfill my ambitions.	Masth jana yenk yenna malapekshen pooraisare dhairya thumbyer
My mother is constantly forgetting people's names.	Yenna ammag janaklena pudar niranthara vadh marepver
She is very careful, so she seldom makes mistakes.	Aleg masth jagrathe aal baari kammi thappu manpval
The old man sat in the chair with his eyes closed.	Parabu kurchi d kann muchidh kulyer
This theory is too difficult for me to comprehend.	Indh kalpisidhinavu yenk masth banga artha manpare
To my surprise, she could not answer the question.	Yenk aascharya aand aleg prashne dha uttara gothuthiji
What number should I call in case of an emergency?	Vow sankhye g yan kare manpod adachani upunaga?
I advise you not to borrow money from your friends.	Yenna salahed ee ninna dostiledh saala manpodchi
I don't like the polluted atmosphere of big cities.	Yenk malla pattanadha ashuddha antharata ista ijji
I go to the office by bicycle except on rainy days.	Yan yenna dhvichakra vahanad office g pope barsa barandhinaga
I had hardly reached the school when the bell rang.	Yan shaledha gante bottunaga bangad shaled g thalupunu
I want to clean the house before my parents return.	Yenk yenna illan appe-ammadlu barpuna dhumbu dhekodu
I was kept waiting for a long time at the hospital.	Yenk aaspathred masth porth muta unthare thikind
India was governed by Great Britain for many years.	Bharathan great britain masth varsha aalondhither
International trade is vital for healthy economies.	antharastriya vyapara yedde nirvahakramagu agathya
It is said that he is the richest man in the world.	Aye vishwadha malla shreemanthe andh panper
It's already eleven o'clock. I must be leaving now.	Ithe pathonji gante aand. Yan ithe budod aapund
The bat was stolen yesterday, along with the balls.	Kode bat boka ball n ottige kandyer
The people of London are very proud of this bridge.	London dha janakleg indh sankha panda baari gourava
This is the house where I lived when I was a child.	Indh illad yan yellia bale upunaga ithe
We are responsible for your protection from now on.	Nama irna rakshaneg javabdhari nanadh
We arrived at the station as the train was leaving.	Nama nildhanag bathinaga rail budund
We must not speak ill of others behind their backs.	Nama bethe janaklena bagga bodchandhina patherre balli aklena beri tha pirav 
We will have to take off our shoes before going in.	Nama muttu dhepod aapund ulai popina dhumbu
When he arrives in Tokyo, I'll call you right away.	Aye tokyo g bannagane yan nik kare manpve
Why do you talk about him as if he were an old man?	Ee dhaye ayena bagge aye parabe andh yendh patherva?
After some hesitation, he laid the book on the desk.	Kelav sandheha ayi boka aye booku n meji dha mith dheeye
I will get through with my homework before he comes. 	Yan aye barpina dhumbu yenna homework mugipave
I will never forget your kindness so long as I live. 	Yan ninna dhayen yepala marapuje
Look carefully. I'm going to show you how it's done.	Sari thoola. Yan nik thopave aven yencha manpuna pandh
A selfish man thinks of nothing but his own feelings.	Swartha manushye ayena gochara bud-dhu bethe dhala yenuje
A selfish man thinks of nothing but his own feelings.	Swartha manushye ayena gochara bud-dhu bethe dhala yenuje
All the flowers in the garden died for lack of water.	Matha poo neer ijandhe bithel d saithind
I ran into an old friend of mine outside the station.	Yenk yenna para dosti nildhanadha pidai thikiye
I spent hours looking for the key that I had dropped.	Yan yennna burdhina chaabi n gante-gantle nadondh ithe
I want this photograph developed as soon as possible.	Yenk indh chitra rappa manthudh korod
I'll arrange for someone to pick you up at your home.	Yan ninan illad lethondh barre yerenandala kadapave 
It is dangerous to ride a motorbike without a helmet.	Helmet ijjandhe bike budpina apayakari
It may not be necessary for us to go to that meeting.	Av kootag popina namak agathya uppandh 
It would be better for you not to ask him for advice.	Ninna yedde g ayena salahe kenodchi 
My hands are dirty. I have been repairing my bicycle.	Yenna kait kure undu. Yan yenna dhvichakra n sari manthondh ithe
She gave me a large room while I stayed at her house.	Yenk aal onji malla kone koryal alna illad upunaga
The government started a program to promote industry.	Sarakara udhyoga abhivrudhi manpare onji karyakrama shuru manthund 
The majority of the committee voted against the bill.	Sabhe dha masth jana lekkadha virodha manther
The other day her mother passed away in the hospital.	Kelav dhina dhumbu alna amma aaspathred theeryer
The population of China is larger than that of India.	China dha janasanhkye bharathad jaasti undu
The speed of the spread of AIDS is horrifyingly fast.	AIDS haraduna chachara masth bega
When you can't do what you want, you do what you can.	Nik dhadha bodu av manpare apuji da nik dhadha aapundu aven manpu
French is spoken in France and in some parts of Italy.	French n france d boka kelav italy dha pradeshad patherver
I got up early, so that I could catch the first train.	Yan bega lakkiye dhayepanda yenk shurutha rail pathare ithind
I was caught in a shower and was drenched to the skin.	Yan barsad thikudh burye boka charma muta chandi aye 
In Japan there aren't any lakes bigger than Lake Biwa.	Japan d Biwa kere d malla vow la kere ijji
In case I can't come, I'll give you a call beforehand.	Yenk mini barre ayijida yan nik shuruke kare mantudh panpe
Make sure to turn off all the lights before going out.	Pidhai popina dhumbu batthi bandh manthudh pola
Maybe I am unhappy, but I don't intend to kill myself.	Yenk bejar adhipu aanda yan yennan kerre alochane manthiji
Seen from the sky, the river looked like a huge snake.	Akashad thoonda nadhi malla huchu leka thojind
The king ordered that the prisoner should be set free.	Raja appani koryer kaidhin bidugade manpare
The patient was lying in the bed with his eyes closed.	Rogi kann muchidh hasiged jethomdh ithe
The police arrested the man who had murdered the girl.	Police dhakul ponnuna kole manthinayen pathyer  
We are supposed to take off our shoes at the entrance.	Nama namma muttu dhepod aapund ulai popina dhumbu
We communicate with each other by telephone every day.	Nama dhinola paraspara phone d patherva 
We have decided on leaving this town tomorrow morning.	Nama nirdhara mantha yelle kande indh ooru bud-dhu popa
With a little more patience, you would have succeeded.	Onji chur jaasti thalme ithinda ee safala avare itha
You had better chain up the dog so that he won't bite.	Ee nayin kattudh paad ijida av agyundu 
You should not speak ill of others behind their backs.	Ee bethe janaklena bagge bodchandhina panyare balli aklena beri tha pirav
You'll have to work hard if you want to pass the exam.	Ee banga barod aapund parikshe d pass avod aanda
A committee has been set up to investigate the problem.	Onji samithi shuru manther indh samasye n karyacharane manpare
According to TV news, there was a plane crash in India.	Dhoorashanedha sudhi prakara Bharathad onji vimana apagatha aathind
As the saying goes, "Nothing ventured, nothing gained."	Onji maath undu, "Dhala padijida, Dhala thikuji"
Can you tell the difference between these two pictures?	Nik indh radd chitradha vyathyasa panoli ya ?
Don't be afraid to make mistakes when speaking English.	English patherunaga thappu manpare podyodchi
I can't swallow these tablets without a drink of water.	Yenk matren ningare apuji neer ijandhe
In order to stay awake I may have to drink more coffee.	Yenk yechara upare kapi parod aapund
The Taj Mahal is one of the seven wonders of the world.	Taj Mahal vishwadha yel adhbuthad onji
The number of fish caught in this river was very small.	Indh nadhi d baari kammi meen pathdher
The voyage from England to India used to take 6 months.	England d Bharath g prayana manpare aaji thingol bodu
There is no point in studying if you are feeling tired.	Bachidh ithudh vodundala prayojana ijji
They obtained a yield of 8 percent on their investment.	Akleg edma paat labha aand aklena muthigedh
This car has enough power to go up the mountain easily.	Indh gaadi d shakthi ijji parvatha dha mith povare
We ought to do our best not to pollute our environment.	Nama parisaran kure manpandhina leka prayathna manpod
